#,English Name,Cost IQD,Chinese Name,Platform,Offline Price IQD,English Support,Cover URL,Store Link,NSUID,Publisher,Languages,Matched Title,Source
1396,Fight'N Rage,1496,战斗狂怒,Nintendo Switch,5000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_FightNRage_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Fight-N-Rage-1647851.html,,,"chinese, english, japanese, spanish",Fight'N Rage,EU
1397,Surviving the Aftermath,1496,末日求生,Nintendo Switch,5000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_SurvivingTheAftermath_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Surviving-the-Aftermath-1864802.html,,,"english, french, german, portuguese, russian, spanish",Surviving the Aftermath,EU
1398,Magic Librarian Arianna,1496,魔法司书,Nintendo Switch 2,5000,لا — يابانية/صينية,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Magical-Magic-World-3002431.html,,,"english, japanese",Magical Magic World,EU
1399,Akuyaku Reijou wa Ringoku no Outaishi ni Dekiai Sareru,1496,被邻国王子溺爱,Nintendo Switch,5000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_switch_8/PS_NSwitch_NiNoKuriWrathOfTheWhiteWitch_PEGI_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Ni-No-Kuni-Remastered-Wrath-of-the-White-Witch-1575919.html,,,"english, french, german, italian, spanish",Ni No Kuni Remastered: Wrath of the White Witch,EU
1400,Ghost Traveler,1496,轮回游郭,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/GHOST-TRAVELER-Adventures-in-Edo-2879966.html,,,"chinese, english, japanese",GHOST TRAVELER: Adventures in Edo,EU
1401,Aka to Akari,2574,赤与灯皆有诡异,Nintendo Switch,8000,لا — يابانية/صينية,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_Aka_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Aka-2294070.html,,,"chinese, english, french, german, japanese, korean, portuguese, spanish",Aka,EU
1402,7th Domain,1496,七度荒域,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/7th-Domain-Tree-of-Chaos-2930666.html,,,"chinese, english, french, german, japanese, spanish",7th Domain：Tree of Chaos,EU
1403,Reel Fishing: Road Trip Adventure,1496,户外钓鱼,Nintendo Switch,5000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_ReelFishingRoadTripAdventure_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Reel-Fishing-Road-Trip-Adventure-1644981.html,,,"english, japanese",Reel Fishing: Road Trip Adventure,EU
1404,Locomoto,1496,乐客萌途,Nintendo Switch,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Locomoto-2830803.html,,,"chinese, english, french, german, japanese, spanish",Locomoto,EU
1405,Crown Trick,1496,不思议的皇冠,Nintendo Switch,7000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_CrownTrick_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Crown-Trick-1856431.html,,,"chinese, english, french, german, japanese, portuguese, russian, spanish",Crown Trick,EU
